slug,image_key,brand,model,type,search_volume_be,wave,amazon_be_asin,amazon_title,price_eur,price_checked_at,availability,manufacturer_url,image_source_url,max_area_m2,max_pool_length_m,max_depth_m,cleaned_zones,battery_life_min,charge_time_min,cable_length_m,filtration_flow_lph,filtration_fineness_microns,filter_capacity_l,filter_type,brush_type,weight_kg,power_w,control,caddy_included,warranty_months,surfaces,shapes,above_ground,in_ground,stairs,compound_slope
intex-zx300,intex-zx300,intex,ZX300,electrique-batterie,150,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wybot-c2,wybot-c2,wybot,C2,electrique-batterie,80,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zodiac-vortex-3,zodiac-vortex-3,zodiac,Vortex 3,electrique-filaire,70,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aiper-scuba-s1,aiper-scuba-s1,aiper,Scuba S1,electrique-batterie,70,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wybot-a1,wybot-a1,wybot,A1,electrique-batterie,60,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aiper-scuba-s1-pro,aiper-scuba-s1-pro,aiper,Scuba S1 Pro,electrique-batterie,50,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wybot-s2,wybot-s2,wybot,S2,surface-skimmer,50,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bwt-p500,bwt-p500,bwt,P500,electrique-filaire,50,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolphin-liberty-400,dolphin-liberty-400,dolphin,Liberty 400,electrique-batterie,40,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zodiac-rc-4400,zodiac-rc-4400,zodiac,RC 4400,electrique-filaire,40,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zodiac-mx8,zodiac-mx8,zodiac,MX8,hydraulique-aspiration,40,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intex-zr100,intex-zr100,intex,ZR100,electrique-batterie,40,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolphin-liberty-300,dolphin-liberty-300,dolphin,Liberty 300,electrique-batterie,30,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolphin-s200,dolphin-s200,dolphin,S200,electrique-filaire,30,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolphin-s300,dolphin-s300,dolphin,S300,electrique-filaire,30,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beatbot-aquasense-2,beatbot-aquasense-2,beatbot,AquaSense 2,electrique-batterie,30,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polaris-280,polaris-280,polaris,280,hydraulique-surpression,30,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolphin-e10,dolphin-e10,dolphin,E10,electrique-filaire,20,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolphin-e20,dolphin-e20,dolphin,E20,electrique-filaire,20,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolphin-m400,dolphin-m400,dolphin,M400,electrique-filaire,20,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolphin-m600,dolphin-m600,dolphin,M600,electrique-filaire,20,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolphin-poolstyle-40i,dolphin-poolstyle-40i,dolphin,PoolStyle 40i,electrique-filaire,20,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolphin-z3i,dolphin-z3i,dolphin,Z3i,electrique-filaire,20,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolphin-zenit-20,dolphin-zenit-20,dolphin,Zenit 20,electrique-filaire,20,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zodiac-vortex-4-4wd,zodiac-vortex-4-4wd,zodiac,Vortex 4 4WD,electrique-filaire,20,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zodiac-mx10,zodiac-mx10,zodiac,MX10,hydraulique-aspiration,20,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zodiac-freerider-rf-5400-iq,zodiac-freerider-rf-5400-iq,zodiac,Freerider RF 5400 iQ,electrique-batterie,20,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zodiac-freerider-rf-5200-iq,zodiac-freerider-rf-5200-iq,zodiac,Freerider RF 5200 iQ,electrique-batterie,20,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zodiac-alpha-oa-6600-iq,zodiac-alpha-oa-6600-iq,zodiac,Alpha OA 6600 iQ,electrique-filaire,20,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aiper-scuba-x1,aiper-scuba-x1,aiper,Scuba X1,electrique-batterie,20,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wybot-c2-vision,wybot-c2-vision,wybot,C2 Vision,electrique-batterie,20,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wybot-c1,wybot-c1,wybot,C1,electrique-batterie,20,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beatbot-aquasense-2-pro,beatbot-aquasense-2-pro,beatbot,AquaSense 2 Pro,electrique-batterie,20,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bwt-p600,bwt-p600,bwt,P600,electrique-filaire,20,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dreame-z1,dreame-z1,dreame,Z1,electrique-batterie,20,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dreame-z1-pro,dreame-z1-pro,dreame,Z1 Pro,electrique-batterie,20,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolphin-liberty-200,dolphin-liberty-200,dolphin,Liberty 200,electrique-batterie,10,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolphin-liberty-600,dolphin-liberty-600,dolphin,Liberty 600,electrique-batterie,10,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolphin-s300i,dolphin-s300i,dolphin,S300i,electrique-filaire,10,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolphin-s400,dolphin-s400,dolphin,S400,electrique-filaire,10,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolphin-s100,dolphin-s100,dolphin,S100,electrique-filaire,10,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolphin-e25,dolphin-e25,dolphin,E25,electrique-filaire,10,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolphin-e30,dolphin-e30,dolphin,E30,electrique-filaire,10,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zodiac-vortex-2,zodiac-vortex-2,zodiac,Vortex 2,electrique-filaire,10,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zodiac-mx9,zodiac-mx9,zodiac,MX9,hydraulique-aspiration,10,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zodiac-cnx-30-iq,zodiac-cnx-30-iq,zodiac,CNX 30 iQ,electrique-filaire,10,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zodiac-cnx-li-52-iq,zodiac-cnx-li-52-iq,zodiac,CNX Li 52 iQ,electrique-batterie,10,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zodiac-freedom-of-42-iq,zodiac-freedom-of-42-iq,zodiac,Freedom OF 42 iQ,electrique-batterie,10,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zodiac-voyager-re-4600-iq,zodiac-voyager-re-4600-iq,zodiac,Voyager RE 4600 iQ,electrique-filaire,10,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aiper-pilot-x1,aiper-pilot-x1,aiper,Pilot X1,electrique-batterie,10,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aiper-pilot-v2,aiper-pilot-v2,aiper,Pilot V2,electrique-batterie,10,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aiper-seagull-pro,aiper-seagull-pro,aiper,Seagull Pro,electrique-batterie,10,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wybot-c1-pro,wybot-c1-pro,wybot,C1 Pro,electrique-batterie,10,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wybot-f1,wybot-f1,wybot,F1,surface-skimmer,10,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wybot-osprey-200,wybot-osprey-200,wybot,Osprey 200,electrique-batterie,10,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intex-zr200,intex-zr200,intex,ZR200,electrique-batterie,10,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
